senator,party,ticker,gics_sector,transaction_date,excess_ret_90,cate,cate_lb,cate_ub
Thomas R Carper,Democrat,DD,Materials,2012-09-13,0.1229141778381601,-0.0018602465157356953,-0.028691367797589705,0.024970874766118305
Thomas R Carper,Democrat,DD,Materials,2012-12-17,0.0857141392400822,-0.0038849988964272174,-0.033410942679493856,0.025640944886639424
Thomas R Carper,Democrat,DD,Materials,2013-03-15,0.0366519781842504,0.0028137487165291026,-0.023049881664296362,0.028677379097354565
Thomas R Carper,Democrat,DD,Materials,2013-06-13,0.2151237925656879,0.0243077762388239,-0.018174572785019976,0.06679012526266775
Thomas R Carper,Democrat,DD,Materials,2013-09-13,0.1388104982367255,-0.0003467375404680548,-0.03272386621173485,0.03203039113079874
Thomas R Carper,Democrat,DD,Materials,2013-12-16,0.1533739903692847,0.01547423855303363,-0.006956553253975185,0.03790503036004243
Sheldon Whitehouse,Democrat,KLXI,Other,2014-03-13,-0.0830509935499045,-0.02300113756249539,-0.07106301315179028,0.02506073802679949
Thomas R Carper,Democrat,DD,Materials,2014-03-14,0.1238238583132027,-0.001434977618530084,-0.02973466671478377,0.0268647114777236
Thomas R Carper,Democrat,DD,Materials,2014-06-13,-0.0670546188022065,-0.005563780852659375,-0.020977412215978986,0.009849850510660233
Sheldon Whitehouse,Democrat,KLXI,Other,2014-06-18,-0.0829724367660623,-0.020090658126608332,-0.04858163779023812,0.00840032153702145
Thomas R Carper,Democrat,DD,Materials,2014-09-15,-0.1461174866243825,-0.003173061130403232,-0.03186426502831226,0.02551814276750579
Susan M Collins,Republican,MDDVX,Other,2014-12-10,0.0690158629551476,-0.006806625679239745,-0.043323069816092394,0.029709818457612898
Susan M Collins,Republican,MDDVX,Other,2014-12-10,0.0690158629551476,-0.006806625679239745,-0.043323069816092394,0.029709818457612898
Susan M Collins,Republican,WASCX,Other,2014-12-11,0.0277440898707299,-0.0201822558725847,-0.06137669797380385,0.021012186228634416
Susan M Collins,Republican,DVFAX,Other,2014-12-11,-0.0418496614302948,-0.0201822558725847,-0.06137669797380385,0.021012186228634416
Thomas R Carper,Democrat,DD,Materials,2014-12-15,0.2061565324709426,-0.001094288791509597,-0.032883157372480515,0.030694579789461312
Susan M Collins,Republican,TOLLX,Other,2014-12-18,0.017058103923536,0.02006122984574523,-0.005683704168718058,0.04580616386020854
Pat Roberts,Republican,BA,Industrials,2014-12-19,0.1530818299707796,0.030999009912637744,-0.007388671721244331,0.06938669154651979
Patrick J Toomey,Republican,CVX,Energy,2014-12-31,-0.0318958935081541,0.021102295010234324,-0.02526988069825459,0.06747447071872324
Patrick J Toomey,Republican,SHY,Other,2015-01-05,0.0057406752756525,0.009950931501795263,-0.019568233255373078,0.0394700962589636
"David A Perdue , Jr",Republican,AM,Other,2015-01-07,-0.1198611330024463,0.007517657586563296,-0.03011850421683009,0.04515381938995666
"David A Perdue , Jr",Republican,KN,Other,2015-01-08,-0.194461566692227,0.011519052059694392,-0.01775840221904622,0.040796506338434985
Susan M Collins,Republican,AXP,Financials,2015-01-13,-0.0864705150216272,0.010076481463289684,-0.04454266712286722,0.06469563004944656
Susan M Collins,Republican,AAPL,Information Technology,2015-01-13,0.2122108321715614,0.005330791419119671,-0.048635553793795264,0.05929713663203461
Susan M Collins,Republican,CVS,Health Care,2015-01-13,0.0764406968839943,0.0015334559418783956,-0.05433224411770849,0.05739915600146527
Susan M Collins,Republican,MTD,Health Care,2015-01-13,0.1143662855884299,0.005743897416843096,-0.03758802282878433,0.0490758176624705
Susan M Collins,Republican,UL,Other,2015-01-13,0.1124642654793595,0.003919249119340548,-0.04452688827068357,0.05236538650936467
Susan M Collins,Republican,WCN,Other,2015-01-13,0.1329745591058169,0.003919249119340548,-0.04452688827068357,0.05236538650936467
"David A Perdue , Jr",Republican,AR,Other,2015-01-14,0.116254237814541,0.008862340427117829,-0.031744131933297975,0.04946881278753363
John Hoeven,Republican,NOG,Other,2015-01-16,0.0704689083424654,0.01832889597670155,-0.004448404258648887,0.04110619621205197
John Hoeven,Republican,NOG,Other,2015-01-16,0.0704689083424654,0.01832889597670155,-0.004448404258648887,0.04110619621205197
"David A Perdue , Jr",Republican,KN,Other,2015-01-21,-0.1140131087601207,0.018729061925102822,-0.03611100911767057,0.07356913296787618
Thomas R Carper,Democrat,PNQI,Other,2015-01-22,0.0965863906662123,0.02018330549162117,-0.004735341792174812,0.04510195277541714
Sheldon Whitehouse,Democrat,GILD,Health Care,2015-01-23,0.0862720608238563,0.021112203384197382,-0.02209762964053777,0.0643220364089325
Pat Roberts,Republican,NFLX,Communication Services,2015-01-27,0.394171260083991,0.015636932487792354,-0.03881496853739562,0.07008883351298033
"David A Perdue , Jr",Republican,KN,Other,2015-01-27,-0.137426918395443,0.010462585926770813,-0.043664457761962754,0.06458962961550438
Pat Roberts,Republican,AAPL,Information Technology,2015-01-28,0.1172846244382488,0.013568024658847763,-0.030144038606082068,0.05728008792377759
Pat Roberts,Republican,BIDU,Other,2015-01-28,-0.0779438318934273,0.01538478753223816,-0.019465665178558383,0.0502352402430347
Patrick J Toomey,Republican,XLU,Other,2015-01-30,-0.1118708543587805,0.016058136150821627,-0.00293141558977434,0.03504768789141757
Patrick J Toomey,Republican,XLV,Other,2015-01-30,0.0837039847023168,0.016058136150821627,-0.00293141558977434,0.03504768789141757
Rafael E Cruz,Republican,PAGP,Other,2015-02-03,-0.0334980965888295,0.010547042020945935,-0.02352790183543989,0.04462198587733175
"David A Perdue , Jr",Republican,KN,Other,2015-02-05,-0.1912949127795046,0.016067429347362126,-0.006861392793104201,0.038996251487828426
Pat Roberts,Republican,GM,Consumer Discretionary,2015-02-05,0.0006389644319535,0.012035308496305856,-0.025963579102905678,0.05003419609551738
Pat Roberts,Republican,DVN,Energy,2015-02-05,-0.0313983791974733,0.01869814505523365,-0.013511201018088993,0.050907491128556304
Thomas R Carper,Democrat,ABBV,Health Care,2015-02-12,0.2374948361330113,0.019325916881365795,-0.02163051846026411,0.0602823522229957
Thomas R Carper,Democrat,ABT,Health Care,2015-02-12,0.1086667812269124,0.019325916881365795,-0.02163051846026411,0.0602823522229957
Thomas R Carper,Democrat,AAPL,Information Technology,2015-02-12,0.0086743817765209,0.020460064125346285,-0.015431295269935821,0.05635142352062842
Susan M Collins,Republican,MMM,Industrials,2015-02-20,-0.0764351826350977,0.03282515918177805,-0.003035829199013934,0.06868614756257002
Thomas R Carper,Democrat,PNQI,Other,2015-02-20,0.0376040197584464,0.020515443386524772,-0.012971142812727255,0.05400202958577678
Thomas R Carper,Democrat,UA,Other,2015-02-20,-0.1385422220743343,0.020515443386524772,-0.012971142812727255,0.05400202958577678
John F Reed,Republican,AMGN,Health Care,2015-02-20,-0.0214949705991941,0.019516180056514638,-0.027263132958396146,0.0662954930714254
Susan M Collins,Republican,AYI,Other,2015-02-20,0.1244565699207584,0.020266270314218883,-0.008759307545656757,0.04929184817409452
Sheldon Whitehouse,Democrat,BMY,Health Care,2015-02-23,0.1166212030552205,0.013037528463463977,-0.03854239741851206,0.06461745434544
John Hoeven,Republican,ABBV,Health Care,2015-02-25,0.1346512999112967,0.013007030701222446,-0.025453577990095698,0.051467639392540565
"David A Perdue , Jr",Republican,KN,Other,2015-02-26,-0.0629035219297604,-0.00916976570830501,-0.050304908151785524,0.0319653767351755
"David A Perdue , Jr",Republican,PAA,Other,2015-02-26,-0.1118051810125581,-0.00483488830722395,-0.0454716064935746,0.035801829879126695
Patrick J Toomey,Republican,EEM,Other,2015-02-27,-0.0905120047743106,-0.007137035643932378,-0.046799425638636004,0.032525354350771245
Pat Roberts,Republican,BIDU,Other,2015-03-02,-0.0852206784217823,-0.006166454114509245,-0.03967165483555195,0.027338746606533442
